promise_id,promise_text,source,text
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",news,Congress releases its manifesto for Karnataka polls - Oneindia
P2,To fill up approved vacancies in all Government Departments with in one year.,news,"Govt. set to kick-start recruitment process for 56,432 posts - The Hindu"
P2,To fill up approved vacancies in all Government Departments with in one year.,news,Explained: Why are Karnataka’s job aspirants protesting? - The News Minute
P2,To fill up approved vacancies in all Government Departments with in one year.,news,"Karnataka’s 2.5 lakh vacancies expose fiscal strain, legal hurdles and rising youth anger - The New Indian Express"
P2,To fill up approved vacancies in all Government Departments with in one year.,news,Labour and Service Law in 2025: Landmark Reforms and Defining Judgments - SCC Online
P2,To fill up approved vacancies in all Government Departments with in one year.,news,"Pradhan Mantri Awas Yojana 2026: Beneficiaries, online, offline application - housing.com"
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,news,Congress releases its manifesto for Karnataka polls - Oneindia
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,news,"Decoding the fine print of pension schemes: What's good, bad, avoidable - Business Standard"
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,news,Karnataka elections: Here's what all Congress has promised in its manifesto - Business Standard
P4,To regularize the services of the presently working in source employees under,news,Labour and Service Law in 2025: Landmark Reforms and Defining Judgments - SCC Online
P4,To regularize the services of the presently working in source employees under,news,"All you need to know about Karnataka’s draft Bill on domestic workers, now open for public feedback - The Indian Express"
P4,To regularize the services of the presently working in source employees under,news,"Karnataka proposes law to fix minimum wage, work hours for domestic workers - The Hindu"
P4,To regularize the services of the presently working in source employees under,news,Bills & Acts - PRSIndia
P4,To regularize the services of the presently working in source employees under,news,Karnataka high court directs regularisation of services for contract workers in Mangaluru city corporatio - The Times of India
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,news,Gehlot accuses Rajasthan government of dismantling health model with neglect - The Hindu
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,news,What happened to Perez Hilton? YouTuber reveals serious health scare that led to hospital stay and surger - The Times of India
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,news,Closing the women’s health gap: 5 key focus areas and why they need more research - The World Economic Forum
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,news,"FM Sitharaman says health insurance is a priority, aims universal coverage by 2033 - Upstox"
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,news,"‘What are the noticeable physical signs that your insulin resistance is improving, such as changes in skin or weight?’ - The Indian Express"
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",news,Congress releases its manifesto for Karnataka polls - Oneindia
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",news,Congress releases its manifesto for Karnataka polls - Oneindia
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",news,"Unpaid for SC/ST census, Karnataka teachers & ASHA workers fear repeat with OBC survey - The Times of India"
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",news,"Karnataka seeks GST revenue protection, more tobacco excise duty sharing from Centre - The Economic Times"
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",news,Karnataka's finances to come under strain as demand for more schemes pour in - The New Indian Express
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",news,Sops galore by Nitish Kumar ahead of Bihar elections - The Sunday Guardian
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",news,"Will Nitish Kumar upset the Grand Alliance’s political equation?: 10 big announcements made in 2 months, di... - Bhaskar English"
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",news,Congress releases its manifesto for Karnataka polls - Oneindia
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",news,Congress releases its manifesto for Karnataka polls - Oneindia
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",news,"India’s Labour Reforms: Simplification, Security, and Sustainable Growth - पीआईबी"
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",news,Summary of Landmark Judgments on Government Contracts and Tenders by the Supreme Court in 2024 (Part I of II) - SCC Online
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",news,California Mandates Important New Rules for Private Construction Projects - Jones Day
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",news,The federal government is still shut down. Here's what that means across the country - NPR
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",news,New Labour Codes Modernizing India’s MSME Ecosystem - पीआईबी
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,news,Congress releases its manifesto for Karnataka polls - Oneindia
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,news,You may have to sign formal contracts with household helps - The Times of India
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,news,Cong. promises investment of ₹1.5 lakh crore over five years to complete irrigation projects - The Hindu
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,news,Congress releases its manifesto for Karnataka polls - Oneindia
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,news,"Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI - Deccan Chronicle"
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,news,Maharashtra cabinet nod for OPS to state employees who joined service after November 2005 - The Times of India
P15,To provide housing to all the police personnel within five years.,news,Home Minister inaugurates newly constructed police quarters in Suntikoppa - The Hindu
P15,To provide housing to all the police personnel within five years.,news,"Law but no order: Karnataka suspends 236 'dirty' cops, 42 face criminal cases; Bengaluru sleuths top list - The Times of India"
P15,To provide housing to all the police personnel within five years.,news,"Karnataka Police is among the best in the country,and he feels proud of its strength and discipline says:Parameshwara - Country and Politics"
P15,To provide housing to all the police personnel within five years.,news,Telangana government urged to set up a guest house in Tirumala - The Hindu
P15,To provide housing to all the police personnel within five years.,news,"'Body dried, reduced to skeletal frame': Rtd railway employee, daughter confined, starved by servant coup - The Times of India"
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,news,Congress releases its manifesto for Karnataka polls - Oneindia
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,news,"Union Budget 2026-27, Highlights and Economic Impact - IBEF"
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,news,Union Budget 2026: Full text of Nirmala Sitharaman's speech; download PDF - The Times of India
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,news,Union Budget 2026 Speech PDF Download: FM Nirmala Sitharaman’s full budget text - The Economic Times
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,news,Key Highlights Of Union Budget 2026-27 - A2Z Taxcorp LLP
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,news,Congress releases its manifesto for Karnataka polls - Oneindia
P18,To reduce registration fee concerning Gift & Will on landed property within the family .,news,Stamp duty and land registration charges in Tamil Nadu 2025 - housing.com
