promise_id,promise_text,category,evidence_googlenews,news_sources
A1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",ADMINISTRATION AND GOVERNANCE,[],[]
A2,To fill up approved vacancies in all Government Departments with in one year.,Public Service:,"['Karnataka Police gears up to fill large vacancies over next two years - The Hindu. Karnataka Police gears up to fill large vacancies over next two years&nbsp;&nbsp;The Hindu', 'Vacancies at govt. departments in Kalyana Karnataka will be filled shortly: CM - The Hindu. Vacancies at govt. departments in Kalyana Karnataka will be filled shortly: CM&nbsp;&nbsp;The Hindu', 'Karnataka Health Department identifies ‘critical vacancies’ to fill on priority; makes rural postings compulsory for all - The Hindu. Karnataka Health Department identifies ‘critical vacancies’ to fill on priority; makes rural postings compulsory for all&nbsp;&nbsp;The Hindu', 'Karnataka has 2.84 lakh vacancies in 43 departments, maximum in six departments - The Hindu. Karnataka has 2.84 lakh vacancies in 43 departments, maximum in six departments&nbsp;&nbsp;The Hindu', 'Karnataka: Half of 43 government departments in Karnataka have 50-70% vacancies | Bengaluru News - The Times of India. Karnataka: Half of 43 government departments in Karnataka have 50-70% vacancies | Bengaluru News&nbsp;&nbsp;The Times of India', 'Transport corporations to fill 8,719 vacancies in Karnataka - The Hindu. Transport corporations to fill 8,719 vacancies in Karnataka&nbsp;&nbsp;The Hindu', 'Soaring expenditure threatens Karnataka CM’s plan to fill 35k vacancies - The Times of India. Soaring expenditure threatens Karnataka CM’s plan to fill 35k vacancies&nbsp;&nbsp;The Times of India', 'Karnataka faces 45,590 teacher vacancies in government schools - The Times of India. Karnataka faces 45,590 teacher vacancies in government schools&nbsp;&nbsp;The Times of India', 'Karnataka must raise health spending, fill vacancies and expand facilities, says report on assessment of public health facilities - The Hindu. Karnataka must raise health spending, fill vacancies and expand facilities, says report on assessment of public health facilities&nbsp;&nbsp;The Hindu', 'Hiring on, yet 58% Karnataka depts have 50% vacancies - The Times of India. Hiring on, yet 58% Karnataka depts have 50% vacancies&nbsp;&nbsp;The Times of India']","['The Hindu', 'The Hindu', 'The Hindu', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'The Times of India', 'The Hindu', 'The Times of India']"
A3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Public Service:,"['Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions - CNBC TV18. Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions&nbsp;&nbsp;CNBC TV18', ""Karnataka elections: Here's what all Congress has promised in its manifesto - Business Standard. Karnataka elections: Here's what all Congress has promised in its manifesto&nbsp;&nbsp;Business Standard""]","['CNBC TV18', 'Business Standard']"
A4,To regularize the services of the presently working in source employees under,Public Service:,"['Karnataka high court directs regularisation of services for contract workers in Mangaluru city corporatio - The Times of India. Karnataka high court directs regularisation of services for contract workers in Mangaluru city corporatio&nbsp;&nbsp;The Times of India', 'Karnataka HC directs Mangaluru civic body to regularise jobs of 16 contract workers in water supply dept - The Indian Express. Karnataka HC directs Mangaluru civic body to regularise jobs of 16 contract workers in water supply dept&nbsp;&nbsp;The Indian Express', 'Services of 12,692 pourakarmikas in Bengaluru to be regularised from May 1 - The Hindu. Services of 12,692 pourakarmikas in Bengaluru to be regularised from May 1&nbsp;&nbsp;The Hindu', 'Karnataka proposes law to fix minimum wage, work hours for domestic workers - The Hindu. Karnataka proposes law to fix minimum wage, work hours for domestic workers&nbsp;&nbsp;The Hindu', ""Karnataka's finances to come under strain as demand for more schemes pour in - The New Indian Express. Karnataka's finances to come under strain as demand for more schemes pour in&nbsp;&nbsp;The New Indian Express"", 'Karnataka High Court expresses concern over ‘exploitation of human labour’ by State government - The Hindu. Karnataka High Court expresses concern over ‘exploitation of human labour’ by State government&nbsp;&nbsp;The Hindu']","['The Times of India', 'The Indian Express', 'The Hindu', 'The Hindu', 'The New Indian Express', 'The Hindu']"
A5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Public Service:,[],[]
A6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,Public Service:,[],[]
A7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Public Service:,[],[]
A8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Public Service:,[],[]
A9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Public Service:,"['ASHA workers call off strike after Karnataka govt agrees to raise honorarium - The News Minute. ASHA workers call off strike after Karnataka govt agrees to raise honorarium&nbsp;&nbsp;The News Minute', 'Karnataka ASHA Workers Threaten Indefinite Strike from Feb 27 Over Rationalisation - Deccan Herald. Karnataka ASHA Workers Threaten Indefinite Strike from Feb 27 Over Rationalisation&nbsp;&nbsp;Deccan Herald', 'Unpaid for SC/ST census, Karnataka teachers & ASHA workers fear repeat with OBC survey - The Times of India. Unpaid for SC/ST census, Karnataka teachers & ASHA workers fear repeat with OBC survey&nbsp;&nbsp;The Times of India', 'Bruhat Belagavi Chalo planned by ASHA workers across Karnataka during winter session - The New Indian Express. Bruhat Belagavi Chalo planned by ASHA workers across Karnataka during winter session&nbsp;&nbsp;The New Indian Express', 'Rationalisation: Karnataka ASHA workers warn of stir from February 27 - Dailyhunt. Rationalisation: Karnataka ASHA workers warn of stir from February 27&nbsp;&nbsp;Dailyhunt', ""Karnataka's finances to come under strain as demand for more schemes pour in - The New Indian Express. Karnataka's finances to come under strain as demand for more schemes pour in&nbsp;&nbsp;The New Indian Express"", 'Karnataka seeks GST revenue protection, more tobacco excise duty sharing from Centre - The Economic Times. Karnataka seeks GST revenue protection, more tobacco excise duty sharing from Centre&nbsp;&nbsp;The Economic Times']","['The News Minute', 'Deccan Herald', 'The Times of India', 'The New Indian Express', 'Dailyhunt', 'The New Indian Express', 'The Economic Times']"
A10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Public Service:,[],[]
