promise_id,promise_text,category,evidence_googlenews,news_sources,evidence_govwebsites
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",ADMINISTRATION AND GOVERNANCE,[],[],[]
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Public Service:,[],[],[]
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Public Service:,[],[],[]
P2,To fill up approved vacancies in all Government Departments with in one year.,Public Service:,[],[],[]
P4,To regularize the services of the presently working in source employees under,Public Service:,[],[],[]
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Public Service:,[],[],[]
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Public Service:,[],[],[]
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Public Service:,[],[],[]
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Public Works:,[],[],[]
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Public Service:,[],[],[]
